global_id,timestamp,run_tag,fee_rate,invest_percent,atr_mult_sl,atr_period,bb_period,bb_position_pct,bb_std_mult,confirmation_candles,ma_long,ma_short,macd_fast,macd_hist_min,macd_signal_period,macd_slow,max_position_candles,min_candles_between,momentum_period,momentum_threshold,rsi_oversold,rsi_period,sl_percent,tp_percent,use_atr_sl,use_bb,use_ma_cross,use_macd,use_momentum,use_rsi,use_volume,vol_ma_period,vol_multiplier,total_ops,ganadoras,perdedoras,winrate,ganancia_media_por_op,ganancia_media_ganadoras,perdida_media_perdedoras,mejor_operacion,peor_operacion,pnl_neto,pnl_por_operacion,roi_mensual,pnl_mensual,max_drawdown,score,tiempo_medio_h,ops_por_mes
1,2026-07-07T23:16:45.980172+00:00,20260707_231645,0.15,100.0,1.78,11,12,1.2,1.9,1,46,20,8,44,12,34,15,0,5,2.49,39,10,2.86,2.1,False,True,False,False,False,True,False,27,1.7,1762,971,791,55.11,0.07,1.94,-2.22,17.38,-18.21,-112.03,-0.06,-0.94,-1.13,45.38,1.06,11.1,17.79
2,2026-07-07T23:16:45.980224+00:00,20260707_231645,0.15,100.0,1.74,14,29,1.93,1.82,0,44,13,18,70,8,32,23,3,8,0.87,21,17,3.55,2.55,False,False,True,True,True,True,False,12,2.16,1679,902,777,53.72,0.07,2.58,-2.84,12.5,-11.26,-112.17,-0.07,-0.94,-1.13,49.14,0.29,15.17,16.95
3,2026-07-07T23:16:45.980241+00:00,20260707_231645,0.15,100.0,1.64,20,17,4.86,2.22,3,22,13,14,26,8,27,16,0,5,1.08,30,10,2.15,4.5,True,False,True,False,False,True,False,10,1.39,622,293,329,47.11,-0.21,2.09,-2.25,14.08,-19.92,-104.73,-0.17,-0.88,-1.06,75.17,-4.61,11.89,6.28
4,2026-07-07T23:16:59.343421+00:00,20260707_231659,0.15,100.0,1.5,20,12,4.87,2.17,2,26,17,13,48,7,27,10,1,15,1.84,26,10,1.98,1.04,True,False,True,False,False,False,True,19,2.64,464,243,221,52.37,-0.01,1.36,-1.51,7.06,-9.36,-67.37,-0.15,-0.57,-0.68,25.11,3.82,5.88,4.68
5,2026-07-07T23:16:59.343499+00:00,20260707_231659,0.15,100.0,1.39,20,14,0.79,2.35,0,34,19,11,46,12,36,6,3,20,2.44,24,17,1.29,0.78,False,True,True,True,False,True,True,23,1.67,1624,892,732,54.93,0.05,1.16,-1.3,14.08,-9.14,-112.42,-0.07,-0.95,-1.13,32.6,2.95,4.11,16.39
6,2026-07-07T23:18:14.553958+00:00,20260707_231814,0.08,100.0,1.3,19,22,1.11,1.96,0,50,13,19,77,8,29,15,5,15,0.69,45,19,2.73,3.94,True,False,True,True,False,True,True,17,1.26,2114,975,1139,46.12,-0.03,2.24,-1.98,12.88,-20.37,-111.56,-0.05,-0.94,-1.13,56.43,-1.94,10.56,21.34
7,2026-07-07T23:18:14.554004+00:00,20260707_231814,0.08,100.0,1.24,16,29,0.44,2.69,3,32,11,17,26,10,31,22,1,16,1.39,25,15,1.08,3.91,False,True,True,True,False,True,False,21,1.11,761,346,415,45.47,-0.05,1.82,-1.62,7.71,-18.47,-90.41,-0.12,-0.76,-0.91,60.77,-2.63,14.51,7.68
8,2026-07-07T23:18:14.554020+00:00,20260707_231814,0.08,100.0,2.55,15,24,2.93,1.92,1,50,9,14,80,7,31,22,5,13,0.92,34,20,2.02,3.88,False,False,False,True,False,False,True,29,1.41,1592,763,829,47.93,0.07,2.41,-2.09,13.51,-9.27,-87.0,-0.05,-0.73,-0.88,58.01,-1.82,16.0,16.07
9,2026-07-07T23:18:14.554034+00:00,20260707_231814,0.08,100.0,2.29,10,16,0.48,2.58,1,22,15,16,26,9,28,21,5,17,1.48,34,13,3.11,2.52,True,True,True,False,False,False,True,16,2.31,1510,792,718,52.45,0.08,1.79,-1.8,12.65,-17.08,-78.21,-0.05,-0.66,-0.79,45.39,0.78,15.31,15.24
10,2026-07-07T23:18:14.554048+00:00,20260707_231814,0.08,100.0,2.37,18,11,0.99,2.12,1,45,14,12,48,9,23,14,4,10,2.8,32,16,2.82,1.75,False,True,False,False,False,False,False,26,2.64,3013,1649,1364,54.73,0.12,1.52,-1.58,12.32,-11.29,-97.81,-0.03,-0.82,-0.99,42.6,1.48,11.27,30.41
